original,generated,reference
"Dummes Gelaber wegen Abschiebung in unsichere Staaten. Berlin, Manchester. und Nizza liegen auch in unsicheren Staaten. Also keine Hemmungen.","Dummes Gelaber wegen Abschiebung in unsichere Staaten. Berlin, Manchester. und Nizza liegen auch in unsicheren Staaten. Also keine Hemmungen.","Unnötiges Gespräch wegen Abschiebung in unsichere Staaten. Berlin, Manchester. und Nizza liegen auch in unsicheren Staaten. Also keine Hemmungen."
እንደ አንተ አይነቶች ናቸዉ ሀገራችንን እያመሱ ያሉት ደንቆሮች መሀይሞች ጭንቅላታቸው የተመረዘ የጠበበ አንተ ስለሀገር,እንደ አንተ አይነቶች ናቸዉ ሀገራችንን እያመሱ ያሉት መሀይሞች ጭንቅላታቸው የተመረዘ የጠበበ አንተ ስለሀገር,እናንተ ናችሁ ሀገራችንን እንዲህ ችግር ላይ የምትጥሏት ፤ አርቃችሁ አታስቡ፣ በጎውን ሀሳብ አታመጡ
La justificación pedorra JAJAJAJ mejor no te defiendas 🤣🤣,mejor no te defiendas 🤣🤣,"Que mala justificación ,mejor no te defiendas"
और ये रोहित ने घुसेड़ा पहला छक्का गांड में..,और ये रोहित ने घुसेड़ा पहला छक्का गांड में..,और ये रोहित ने मारा पहला जबरदस्त छक्का..
glad to see they were allowed to fuck up the santa barbara coast .,glad to see they were allowed to fuck up the santa barbara coast.,Glad to see they were alllowed to destroy the santa Barbara coast
stimmt. Die Russen hatten wenigstens diese Ossis unter Kontrolle,stimmt. Die Russen hatten wenigstens diese unter Kontrolle,stimmt. Die Russen hatten wenigstens die DDR unter Kontrolle
हम मादरचोद हैं क्या कर सकते है,हम क्या कर सकते है,हम डरपोक हैं हम क्या कर सकते है
أوقفوا التغطية واجعلهم يتعفنون .,أوقفوا التغطية واجعلهم يتعافون .,من فضلكم أوقفوا التغطية
the germans today are the same blind brainless followtheleader sheep they were inand throughout their history .,the germans today are the same follow the leader they were inand throughout their history .,The germans today are the same they were in and throughout their history
በአንዴ ካድሽኝ? ለነገሩ የመጀመሪያሽ አይደለም ??,በአንዴ ካድሽኝ? ለነገሩ የመጀመሪያሽ አይደለም ??,በአንዴ ድጋፍሽን አነሳሽ? ለነገሩ የመጀመሪያሽ አይደለም ??
",, pin pon , todos los rojos delincuentes en sus ejercicio  ..",", pin pon , todos los rojos en sus ejercicios ..","pin pon , todos los rojos en sus ejercicio"
قردوغان دخل غازيا فمن مهد له الطريق,دخل غازيا فمن مهد له الطريق,أردوغان دخل غازيا فمن مهد له الطريق
तू ऐसे ही नालियों में भटकना,तू ऐसे ही नालियों में भटकना,तू ऐसे ही इधर-उधर भटकते रहना
пусть сам ебашит отсюда урод,пусть сам отсюда,пусть сам едет отсюда
на корню надо душить эту заразу.,На корню надо душить заразу,На корню надо это пресекать
Pero siguen estando ahí y recibiendo subvenciones de la ilesia y del estado FASCISTA,Pero siguen estando ahí y recibiendo subvenciones de la ilesia y del estado,Siguen estando ahí y recibiendo subvenciónes
እሾህ እንዳንተ መርዘኛ ሰው አይቼ አላውቅም። ለምን አትተወንም ግን? የገረፉህ፣ ያሰሩህ፣ ያንገላቱህ ወያኔዎች አልነበሩም? እነሱ ሲደመሰሱ ብትችል ድንጋይ ባቀበልክ። ለ,እሾህ እንዳንተ መርዘኛ ሰው አይቼ አላውቅም። ለምን አትተወንም ግን? የገረፉህ፣ ያንገላቱህ ወያኔዎች አልነበሩም? እነሱ ሲደመሰሱ ብትችል ድንጋይ ባቀበልክ። ለ,እንዳንተ ልክ ያልሆነ ሰው አይቼ አላውቅም። ለምን አትተወንም ግን? ተጽኖ ሲያደርሱብህ የነበሩ ሰዎች አሁን የሉም ? እነሱ ከስልጣን ሲነሱ ብትችል ድንጋይ ባቀበልክ።
इतना सब कुछ होने के बाद भी मैं पूरे भरोसे से कह रहा हूँ ये दलाल दलाली करते रहेंगे।,इतना सब कुछ होने के बाद भी मैं पूरे भरोसे से कह रहा हूँ ये करते रहेंगे।,इतना सब कुछ होने के बाद भी मैं पूरे भरोसे से कह रहा हूँ ये बुरे काम नहीं रोकेंगे |
ደነዝ። ሁሉም እንደናንተ በገንዘብ የሚገዛ ይመስላችኋል,ደነዝ። ሁሉም እንደናንተ በገንዘብ የሚገዛ ይመስላችኋል,ሁሉም እናንተ እንደምታስቡት በገንዘብ የሚታለል ይመስላችኋል
"yeah , americans with quadruple citizenship so they have where to go in case shit gets serious anywhere else .","yeah , americans with quadruple citizenship so they have where to go in case gets serious anywhere else","Yeah , Americans with quadruple citizenship so they have where to go in case things gets serious anywhere else ."
Можна я перестану буть такою як я є ало мені має буть похуй а чьото не похуй,Можна я перестану буть такою як я є ало мені має буть погане а чьото не погане,Можна я перестану буть такою як я є ало мені має буть байдуже а чьото не байдуже
ليس هجومًا شخصيًا، أنت معتوه حساس.,ليس هجومًا شخصيًا، أنت حساس.,ليس هجومًا شخصيًا، أنت شخص حساس.
Dios mi madre es subnormal en serio,Dios mi madre es en serio,Dios mi madre está mal en serio.
die Quotenmusel in der Sharia Partei D. für was das auch immer steht der Blonde ist aber auch nicht ganz hell auf der Platte,die Quotenmusel in der Partei D. für was das auch immer steht der Blonde ist aber auch nicht ganz hell auf der Platte,die Quotenvertreterin in der Sharia Partei D. für was das auch immer steht der Blonde ist aber auch nicht ganz aufgeklärt
አሁንም አንደበተ ጎደሎ ተሆኛለሽ እንዴ። በራስሽ ሰውነት የማዘዝ መብቱ የአንቺ ቢሆንም ከኢትዮጵያዊነት ባህል በመዝለልሽ ነው አስተያየት የተነገረሽ ጭራሽ ቡራ ከዮ ትያለሽ ማፈሪያ ነሽ??,አሁንም አንደበተ ጎደሎ ተሆኛለሽ እንዴ። በራስሽ ሰውነት የማዘዝ መብቱ የአንቺ ቢሆንም ከኢትዮጵያዊነት ባህል በመዝለልሽ ነው አስተያየት የተነገረሽ ጭራሽ ቡራ ከዮ ትያለሽ ማፈሪያ ነሽ??,አሁንም አንደበተ እንደሌለው ተሆኛለሽ እንዴ። በራስሽ ሰውነት የማዘዝ መብቱ የአንቺ ቢሆንም ከኢትዮጵያዊነት ባህል በመዝለልሽ ነው አስተያየት የተነገረሽ መቆጣት የለብሽም
"чем бы дитя не тешилось,лишь бы не плакало! дегтярев-пидармон, куда ты полез?! народ недураки, все вам вылезет едросам-митингами!","чем бы дитя не тешилось,лишь бы не плакало! дегтярев, куда ты полез?! народ недураки, все вам вылезет митингами!","чем бы дитя не тешилось,лишь бы не плакало! дегтярев, куда ты полез?! народ недураки, все вам вылезет!"
"Mit Schulz kämen wir von der Pest (Merkel) zur Cholera (Schulz)! CDU uns SPD zusammen haben, unseren jetzigen Untergang zu verantworten!","Mit Schulz kämen wir von der Pest (Merkel) zur Cholera (Schulz)! CDU uns SPD zusammen haben, unseren jetzigen Untergang zu verantworten!","Mit Schulz kämen wir vom einen Übel (Merkel) zum anderen Übel (Schulz)! CDU uns SPD zusammen haben, unseren jetzigen Untergang zu verantworten!"
አንተ ደንቆሮ የጠንቋይ ልጅ ጠላታችን እንደሆንክ ኣስተምረን እንነቃቸዋለን።,አንተ የጠንቋይ ልጅ ጠላታችን እንደሆንክ ኣስተምረን እንነቃቸዋለን።,ወደጅ እንደልሆንን ኣስተምረን እንነቃቸዋለን።
የሚያሳዝነው እናንተ በሰለጠነው አለም የምትኖሩ ደንቆሮዎች ይሄንን ሰው ሲበላ ፎቶ አንስታችሁ መለጠፋችሁ ነው:: ቢበላስ የትግራይን ባህ,የሚያሳዝነው አለም የምትኖሩ ደንቆሮዎች ይሄንን ሰው ሲበላ ፎቶ አንስታችሁ መለጠፋችሁ ነው:: ቢበላስ የትግራይን ባህ,የሚያሳዝነው እናንተ በሰለጠነው አለም የምትኖሩ ሰዎች ይሄንን ሰው እንዲህ ሲያደርግ ፎቶ አንስታችሁ መለጠፋችሁ ነው::
везде бабушки блядь а дедушки ведь она пиздует к внукам а дед ебашет на работе и всегда она хорошая а дед хуевый парадокс,везде бабушки а дедушки ведь она пиздует к внукам а дед ебашет на работе и всегда она хорошая а дед парадокс,"везде бабушки и дедушки: бабушка ездит к внукам, а дед работает, но она всегда хорошая, а дедушка плохой. Парадокс!"
前有慈禧的宁予蛮邦不予家奴，后有老猫的中国人没饭吃也得让越南，棒子，阿尔巴尼亚吃饱的友邦论，可谓上梁不正下梁歪，遗毒甚远,"前有慈禧的宁予蛮邦不予家奴,后有老猫的中国人没饭吃也得让越南,棒子,阿尔巴尼亚吃饱的友邦论,可谓上梁不正下梁歪,遗毒甚远",前有慈禧的宁予蛮邦不予家奴，后有老猫的中国人没饭吃也得让越南，韩国，阿尔巴尼亚吃饱的友邦论，可谓上梁不正下梁歪，遗毒甚远
በዘራህዉ ልክ ማጨድህ አይቀርም የጊዜ ጉዳይ እንጅ,በዘራህዉ ልክ ማጨድህ አይቀርም የጊዜ ጉዳይ እንጅ,በጊዜ ሂደት ማንም ለሰራው በደል መልሱን ማግኘቱ አይቀርም
من قال لك ايها المغفل ان الصحراويين لا يشبهوننا، من اين اتى المرابطون؟؟ الصحراء كانت ارضا خ…,من قال لك ايها المغفل ان الصحراويين لا يشبهوننا، من اين اتى المرابطون؟؟ الصحراء كانت ارضا خ...,من قال لك ايها الرجل ان الصحراويين لا يشبهوننا، من اين اتى المرابطون؟؟ الصحراء كانت ارضا خ…
"Tu eres subnormal, no refinado, no confundas términos.",No confundas términos.,Tú no eres refinado no confundas términos
የጅል ክርክሩ ውስጥ ኮ ሌላ ስም ፕሮፖስ በማድረግ ራስህን መዶል ብቻ ሳይሆን ዙሩንም አከረርከው - ሰላም ሚንስትር ስታይል conflict resolution,የጅል ክርክሩ ውስጥ ኮ ሌላ ስም ፕሮፖስ በማድረግ ራስህን መዶል ብቻ ሳይሆን ዙሩንም አከረርከው - ሰላም ሚንስትር ስታይል conflict resolution,ክርክሩ ውስጥ ኮ ሌላ ስም ፕሮፖስ በማድረግ ራስህን ማስገባት ብቻ ሳይሆን ዙሩንም አከረርከው - ሰላም ሚንስትር ስታይል
Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!,Ob von Merkel oder Schulz? Wir Deutsche wollen und können diese Aussage der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!,Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!
小仙女上辈子这么过来的,|||||||||,自我感觉过于良好的女性上辈子这么过来的
* neither * of my coworkers gave a shit when it came time to ditch mitch . ugh .,* neither * of my coworkers gave a shit when it came time to ditch mitch . ugh .,Neither of my co-workers cared when it came to ditching Mitch.
ከፊትህ እየተጨፈጨፉ ላሉት መጀመርያ መቼ ጮህክ አንተ አስመሳይ ሰለፊ? አክራሪነትን ለማስፋፋት የታሪክ ሪቪዥን ለማድረግ ውስጥ ለውስጥ እንደምትሰሩ ስለምናውቅ በነገሥታ,ከፊትህ እየተጨፈጨፉ ላሉት መጀመርያ መቼ ጮህክ አንተ አስመሳይ ሰለፊ? አክራሪነትን ለማስፋፋት የታሪክ ሪቪዥን ለማድረግ ውስጥ ለውስጥ እንደምትሰሩ ስለምናውቅ በነገሥታ,ከፊትህ እየተጎዱ ላሉት መጀመርያ መቼ ጮህክ ? የረሳችሁን ሀሰብ ለማስፋፋት  ውስጥ ለውስጥ እንደምትሰሩ እነውቃለን
"6 años ha tardado en mostrarse el tarado mental más grande, bravo 👏",6 años ha tardado en mostrarse el problema más grande,"6 años ha tardado en mostrarse el personaje más grande, bravo 👏"
"Ach ja stimmt, Eure bekloppte Religion...","Ach ja stimmt, bekloppte Religion...","Ach ja stimmt, Eure Religion..."
ባለጌ ለመሆንሺ ምሰክር አያሻኝም ሰው ሰላልሆንሺ አሉ ብለሺ አወራሺ ማንም በሴትነቱ በሰውነቱ ይከበራል,ባለጌ ለመሆንሺ ምሰክር አያሻኝም ሰው ሰላልሆንሺ አሉ ብለሺ አወራሺ ማንም በሰውነቱ ይከበራል,ለስርአት ተገዢ እንዳልሆንሽ ተረድቼአለሁ፡፡ ማንም በሴትነቱ በሰውነቱ ይከበራል
казнить на месте нечего войну раздувать с братских народом,казнить на месте нечего войну раздувать с братских народом,"Не стоит раздувать войну с братским народом, за это надо наказывать."
第二張圖無感，第一張圖真伞兵，另外男足真是不爭氣,"第二張圖没有感,第一張圖真伞兵,另外男足真是不爭氣",第二張圖無感，第一張圖真不明智，另外男足真是不爭氣
Son sus costumbres y hay que respetarlas,Son sus costumbres y hay que respetarlas,Cada grupo tiene sus propias tradiciones y es importante respetarlas
", оскорбление чести матери,за такое можно и по е6алу дать !","Оскорбление чести матери,за такое можно и по дать !","оскорбление чести матери, это не может остаться безнаказано"
Verdammt die Olle Merkel tritt wieder an !!!,Verdammt die Olle Merkel tritt wieder an !!!,die Merkel tritt wieder an !!!
说得好听，你们别赶上去倒贴默啊,"说得好听,你们别赶上去倒贴黑人啊",说得好听，你们别赶上去倒贴黑人啊
да ты просто пидарас конченный! о чём с тобой тварь общаться можно !,да ты просто глупец! о чём с тобой общаться можно!,Да ты просто не прав! О чём можно с тобой общаться!
west is the spoiled shit .,west is not good.,west is bad.
Кидає фотку в платті і каже - диви яка в мене тут жопа!,Кидає фотку в платті і каже - диви яка в мене тут дурість!,'Кидає фотку в платті і каже - диви яка в мене тут п''ята точка!'
не могла найти где тебе гаду написать,не могла найти где тебе гаду написать,Не могла найти где тебе написать
Ідіть нахуй зі своїми блядськими стереотипами.,Ідіть зі своїми стереотипами.,Відчепіться зі своїми стереотипами.
ምን እገባሽ እዚያው የአረብ ባርነትሽ ይቀብርሻል ባንዳን ተጠቅመው ነው የሚቀብሩት ይሆም እውነት የማይቀር ነው::,ምን እገባሽ እዚያው የአረብ ባርነትሽ ይቀብርሻል ባንዳን ተጠቅመው ነው የሚቀብሩት ይሆም እውነት የማይቀር ነው::,ይኸ አንቺን አይመለከትም እዚያው አረብ ሀገር ስራሽን ስሪ
ይሄ ሰውዬ ከዕውቀት ነፃ ነው ጭንቅላት በጥላቻ ተሞላ ሰይጣን ሽንታም ነገር ነው,ይሄ ሰውዬ ከዕውቀት ነፃ ነው ጭንቅላት በጥላቻ ተሞላ ሰይጣን ሽንታም ነገር ነው,ይሄ ሰው ተገቢውን ግንዛቤ ያለውና ከወገንተኝነት የራቀ አይደለም
Ya empiezan los sinvergüenzas..  No faltes al respeto Rumano de mierda..,Ya empiezan las cosas.. No faltes al respeto Rumano..,"Los sinvergüenzas están empezando ... No seas irrespetuoso, rumana ..."
Supongo que Perro le dará asilo en la Moncloa,Supongo que Perro le dará asilo en la Moncloa,Supongo que el presidente le dara asilo en la Moncloa
Merkel und Konsorten haben durch die SED gut gelernt. Der Abschaum ist und bleibt oben.,Merkel und Konsorten haben durch die SED gut gelernt. Der Abschaum ist und bleibt oben.,Merkel und Konsorten haben durch die SED gut gelernt. Sie sind und bleibt oben.
"a ver eso se elige, no es natural... Vas a arder en el infierno por sodomita.","a ver eso se elige, no es natural... Vas a arder en el infierno","eso se elige, no es natural"
الرجاء تضمين كل الحماقات التي يفلت منها الحزب الديموقراطي أيضاً.,الرجاء تضمين كل الحماقات التي يفلت منها الحزب الديموقراطي.,الرجاء تضمين كل الأمور التي يفلت منها الحزب الديموقراطي أيضاً.
"ну, александр,представляющий в комментариях мужское мнение,насколько я поняла,был фраппирован и оп*здошен запросами мамзелей","ну, александр,представляющий в комментариях мужское мнение,насколько я поняла,был фраппирован и оп*дошен запросами мамзелей","Ну,Александр,представляющий в комментариях мужское мнение,насколько я поняла,был окружен запросами женщин."
"гегель такий мілаш,коли пише про абстрактне мислення, і таке мудло, коли товкмачить про право і державу.","Гегель такий мілаш,коли пише про абстрактне мислення, і таке мудло, коли товкмачить про право і державу.","гегель такий мілаш,коли пише про абстрактне мислення, і такий чудний, коли товкмачить про право і державу."
አንተን የተቀበለ ሰይጣንም ቢሆን ካስተዳደረ የሰው ሰቀቀን የሰው ሀዘንና ለቅሶ ምንም አይመስልህም በሆነው ነገር አይዘኑ ሁሉ ነው እያልክ ያለኸው?,አንተን የተቀበለ ሰይጣንም ቢሆን ካስተዳደረ የሰው ሰቀቀን የሰው ሀዘንና ለቅሶ ምንም አይመስልህም በሆነው ነገር አይዘኑ ሁሉ ነው እያልክ ያለኸው?,አንተን የተቀበለ ማንም ቢሆን ካስተዳደረ በሰው ምንም አይነት  ችግር ቢመጣ በሆነው ነገር ሁሉ አይዘኑ እያልክ ያለህ ነው የሚመስለው
Aquí va una canción para todos y cada uno de los putos fascistas del PP… Fuck You de Lily Allen,Aquí va una canción para todos y cada uno de los fascistas del PP... Fuck You de Lily Allen,Aquí tenéis una canción para todos y cada uno de los PP... You de Lily Allen
对不起啊，我先道个歉我是一个耽美读者，那些莫明就磕cp的其实是腐女我也不知道为什么腐女那么多我也很反感腐女的。,"对不起啊,我先道个歉我是一个耽美读者,那些莫明就磕cp的其实是女性我也不知道为什么腐女那么多我也很反感女性的。",对不起啊，我先道个歉我是一个耽美读者，那些莫明就磕cp的其实是喜欢bl题材的女性我也不知道为什么欢bl题材的女性那么多我也很反感欢同性题材的女性的。
भोसड़ी वाले तुम लोग जो है शांति बचाने वाले बन जाते हो,वाले तुम लोग जो है शांति बचाने वाले बन जाते हो,तुम लोग जो है शांति बचाने वाले बन जाते हो
"Stop defending neo-Nazis, you fuck","Stop defending neo-Nazis, you",Stop defending neo-Nazis
दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि तोड़ फोड़ का जवाब तोड़ फोड़ से दे और मौत का बदला मौत ही दे,दरअसल गलती हम लोगों की है हम लोगों को भी चाहिए कि जो जैसा हमारे साथ करें हम भी वैसा ही करें उसके साथ
क्योंकि ऐसा बोलने वाले सड़क छाप सच्चे नहीं होते...,ऐसा बोलने वाले सड़क छाप सच्चे नहीं होते...,क्योंकि ऐसा बोलने वाले सच्चे नहीं होते...
pues con lo puto retrasado que eres podría ser,¿Cómo te sientes?,en tu estado es posible
So sind sie halt unsere Politschmarotzer....Lindner allerdings eine noch größere Pfeife als Westerwelle..,So sind sie halt unsere Anhänger....Lindner allerdings eine noch größere Gefahr als Westerwelle..,So sind sie halt unsere Politiker....Lindner allerdings noch schlimmer als Westerwelle..
"Die Zeit ist überreif für dass große Ausmisten in Politik, Justiz u Medien dieses ganze Rot Grün versiffte Parteibuch Pack zum Teufel jagen","Die Zeit ist überreif für dass große Ausmisten in Politik, Justiz u Medien dieses ganze Rot Grün versiffte Parteibuch packen","Die Zeit ist überreif für dass große Ausmisten in Politik, Justiz u Medien diese ganze Rot Grün orientierte Parteibuch Gruppe verscheuchen"
Коли пацан - пиздець як відразливо.,Коли пацан - як відразливо.,Коли пацан - геть як відразливо.
舔狗龜男比拳師更可恨,极端女权主义者比极端女权主义者更可恨,单方面付出的卑微男性比极端的性别平等倡导者更可恨
सुवर कहि के इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब,इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब,बेकार आदमी इनकी भी बहन बेटियो के साथ नहीं होंना चाहिए यह सब
አብን ውስጤ ነው ብለሽ ነው የዘለልሽው ?? ቀዳዳ አስመሳይ.,አብን ውስጤ ነው ብለሽ ነው የዘለልሽው ?? ቀዳዳ አስመሳይ.,የአብን  ደጋፊ ነኝ ብለሽ ነው የዘለልሽው፤ ከልብሽ አይመስልም
Danke für die billigen Phrasen.Zum Kotzen!,Danke für die billigen Phrasen.,Danke für die leeren Worte. Gefällt mir nicht!
"Me gustaría saber lo que tú harías, si te llegará a pasar a ti. Eres el típico charlatán de feria.",Me gustaría saber qué harías si te llegará a pasar a ti.,Me gustaría saber qué harías si te sucediera a ti. A veces pareces muy persuasivo en tus argumentos.
هذا واحد قليل بحقه الحذاء,هذا واحد قليل بحقه,هذا واحد قليل بحقه الشتيمة
"sell your ships , find a new job , get the fuck out of the number th century , thanks .","sell your ships , find a new job , get the out of the number century , thanks .","sell your ships , find a new job , get out of the number th century , thanks ."
"Te gustan los niños,fascista de mierda?",Te gustan los niños?,Te gustan los niños?
عليكم لعنة الله وغضبه وسخطه يا اعداء الله ورسوله اللهم ارينا فيهم عجائب قدرتك عاجلا غير آجل اللهم طهر,عليكم غضبه وسخطه يا اعداء الله ورسوله اللهم ارينا فيهم عجائب قدرتك عاجلا غير آجل اللهم طهر,حسبي الله عليكم يا اعداء الله ورسوله اللهم ارينا فيهم عجائب قدرتك عاجلا غير آجل اللهم طهر
he is not that stupid .,he is not that smart.,he is not that foolish.
ታዲያ ለሱዳን ሲሆን እንደ ውሻ ጭራህን ቆልፈህ ቁጭ አልክ? የሚያግዝ የኢትዮጵያ ወታደር የሻቢያ ወታደር የሁሉም ክልሎች ልዩ ሀይል,ታዲያ ለሱዳን ሲሆን እንደ ውሻ ጭራህን ቆልፈህ ቁጭ አልክ? የሚያግዝ የኢትዮጵያ ወታደር የሻቢያ ወታደር የሁሉም ክልሎች,ታዲያ ለሱዳን ሲሆን ለምን ዝም ማለት መረጥክ? የሚያግዝ የኢትዮጵያ ወታደር የኤርትራ ወታደር የሁሉም ክልሎች ልዩ ሀይል
"No hay que indicar niña ""blanca española"" ni nada?","No hay que indicar niña ""blanca española"" ni nada?",No es necesario especificar la nacionalidad o etnia al referirse a una niña.
مش باقي خسارة، مش باقي حداد بقا، غضب الناس رح يفترسكم يا شراميط,مش باقي خسارة، مش باقي حداد بقا، غضب الناس رح يفترسكم,مش باقي خسارة، مش باقي حداد بقا، غضب الناس رح يفترسكم
Weit und breit kein Neger.,Weit und breit kein Neger.,Weit und breit kein Schwarzer.
ሰይጣንም ለአመሉ ከመፀሐፍ ቅዱስ ይጠቅሳል። ኃይማኖቱን ተወውና ፖለቲካውን በወጉ ያዘው። ጌታ የቀየር ተላላኪ ባሪያ ምን አፍ አለኝ ብሎ ያወራል? መጀመሪያ ከተ,ሰይጣንም ለአመሉ ከመፀሐፍ ቅዱስ ይጠቅሳል። ኃይማኖቱን ተወውና ፖለቲካውን በወጉ ያዘው። ጌታ የቀየር ተላላኪ ባሪያ ምን አፍ አለኝ ብሎ ያወራል?,ምን ለአመሉ ከመፀሐፍ ቅዱስ ይጠቅሳል .. ኃይማኖቱን ተወውና ፖለቲካውን በደንብ ያዘው። አሁን ምን አፍ አለኝ ብሎ ያወራል?
እንዳንተ አይነቱ ደደብ ቢያጠፋም ባያጠፋም በቀን አንዴ መመከር እበት,እንዳንተ አይነቱ ደደብ ቢያጠፋም ባያጠፋም በቀን አንዴ መመከር እበት,ለአንተ  በቀን አንዴ ምክር መስጠት ሳያስፈልግ አይቀርም
अब तो ये भी हरामी बनते जा रहे हैं,अब तो ये भी बेकार बनते जा रहे हैं,अब तो ये भी बुरे आदमी बनते जा रहे हैं
በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከመሀይምነቱ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ . ጌታቸው ረዳ በTMH,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከመሀይምነቱ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ ረዳ በ,በሁለት ቀን ልዩነት የተለያየ ነገር መናገሩ ልያስገርመን አይገባም.ከለመወቁ የተነሳ በአንድ አረፍተ ነገር ላይ ሁሉት ተቃራኒ ነገሮችን ይናገራ
她们才是普信女,她们才是极端女权主义者,她们才是没有自知之明的女性
"जिस किसी भी दिन फॉर्ब्स गिरे हुये नीच, जलील, कमीने पत्रकारों की लिस्ट बनायेगा. तू टॉप पर आएगा","जिस किसी भी दिन फॉर्ब्स गिरे हुये नीच, जलील, पत्रकारों की लिस्ट बनायेगा. तू टॉप पर आएगा",जिस किसी भी दिन फॉर्ब्स बुरे पत्रकारों की लिस्ट बनायेगा. तू टॉप पर आएगा
Wer die Grünen wählt ist entweder dumm oder ein Hurensohn,Wer die Grünen wählt ist entweder naiv oder naiv,Wer die Grünen wählt ist entweder uninformiert oder naiv
выспались сволочи и не знают за что опладировали,выспались и не знают за что опладировали,выспались и не знают за что апладировали
谁不知道吴施蒙，谁特么活该接盘。,"谁不知道吴施蒙,谁特么活该接盘。",谁不知道吴施蒙，谁和与黑人有过感情经历的女人交往就是本应该的。
መፅሀፍ ማለት አንቺ ተጋድመሽ እንዳሮጌ እርግብ አልጋላይ የምታጎላጂጂበት ማለት ሳይሆን እንደ ትጉህ ንብ በንቃት እወቀት የሚመጠጥበት ነው።,መፅሀፍ ማለት አንቺ  እንዳሮጌ እርግብ አልጋላይ የምታጎላጂበት ማለት ሳይሆን እንደ ትጉህ ንብ በንቃት እወቀት የሚመጠጥበት ነው።,መፅሀፍ ማለት አንቺ እንደ ነገሩ ጋደም ብለሽ  ዝምብሎ የሚነበብ ሳይሆን እንደ ትጉህ ንብ በንቃት እወቀት የሚመጠጥበት ነው።
